Player,Team,Salary
JA Morkel,Chennai Super Kings,"$675,000"
JDP Oram,Chennai Super Kings,"$675,000"
Joginder Sharma,Chennai Super Kings,"$225,000"
M Muralitharan,Chennai Super Kings,"$600,000"
M Ntini,Chennai Super Kings,"$200,000"
MEK Hussey,Chennai Super Kings,"$250,000"
ML Hayden,Chennai Super Kings,"$375,000"
MS Dhoni,Chennai Super Kings,"$1,500,000"
PA Patel,Chennai Super Kings,"$325,000"
SK Raina,Chennai Super Kings,"$650,000"
SP Fleming,Chennai Super Kings,"$350,000"
A Symonds,Deccan Chargers,"$1,350,000"
AC Gilchrist,Deccan Chargers,"$700,000"
DNT Zoysa,Deccan Chargers,"$110,000"
HH Gibbs,Deccan Chargers,"$575,000"
LPC Silva,Deccan Chargers,"$100,000"
RG Sharma,Deccan Chargers,"$750,000"
RP Singh,Deccan Chargers,"$875,000"
SB Styris,Deccan Chargers,"$175,000"
Shahid Afridi,Deccan Chargers,"$675,000"
VVS Laxman,Deccan Chargers,"$375,000"
WPUJC Vaas,Deccan Chargers,"$200,000"
AB de Villiers,Delhi Daredevils,"$300,000"
G Gambhir,Delhi Daredevils,"$725,000"
GD McGrath,Delhi Daredevils,"$350,000"
KD Karthik,Delhi Daredevils,"$525,000"
MF Maharoof,Delhi Daredevils,"$225,000"
MK Tiwary,Delhi Daredevils,"$675,000"
Mohammad Asif,Delhi Daredevils,"$650,000"
Shoaib Malik,Delhi Daredevils,"$500,000"
TM Dilshan,Delhi Daredevils,"$250,000"
B Lee,Kings XI Punjab,"$900,000"
DPMD Jayawardene,Kings XI Punjab,"$475,000"
IK Pathan,Kings XI Punjab,"$925,000"
KC Sangakkara,Kings XI Punjab,"$700,000"
PP Chawla,Kings XI Punjab,"$400,000"
RR Powar,Kings XI Punjab,"$170,000"
RR Sarwan,Kings XI Punjab,"$225,000"
S Sreesanth,Kings XI Punjab,"$625,000"
SM Katich,Kings XI Punjab,"$200,000"
AB Agarkar,Kolkata Knight Riders,"$350,000"
BB McCullum,Kolkata Knight Riders,"$700,000"
DJ Hussey,Kolkata Knight Riders,"$625,000"
I Sharma,Kolkata Knight Riders,"$950,000"
M Kartik,Kolkata Knight Riders,"$425,000"
RT Ponting,Kolkata Knight Riders,"$400,000"
Shoaib Akhtar,Kolkata Knight Riders,"$425,000"
T Taibu,Kolkata Knight Riders,"$125,000"
Umar Gul,Kolkata Knight Riders,"$150,000"
CRD Fernando,Mumbai Indians,"$150,000"
Harbhajan Singh,Mumbai Indians,"$850,000"
RV Uthappa,Mumbai Indians,"$800,000"
SM Pollock,Mumbai Indians,"$550,000"
ST Jayasuriya,Mumbai Indians,"$975,000"
GC Smith,Rajasthan Royals,"$250,000"
Kamran Akmal,Rajasthan Royals,"$150,000"
M Kaif,Rajasthan Royals,"$675,000"
MM Patel,Rajasthan Royals,"$275,000"
SK Warne,Rajasthan Royals,"$450,000"
SR Watson,Rajasthan Royals,"$125,000"
YK Pathan,Rajasthan Royals,"$475,000"
Younis Khan,Rajasthan Royals,"$225,000"
A Kumble,Royal Challengers Bangalore,"$500,000"
CL White,Royal Challengers Bangalore,"$500,000"
DW Steyn,Royal Challengers Bangalore,"$325,000"
JH Kallis,Royal Challengers Bangalore,"$900,000"
MV Boucher,Royal Challengers Bangalore,"$450,000"
S Chanderpaul,Royal Challengers Bangalore,"$200,000"
W Jaffer,Royal Challengers Bangalore,"$150,000"
Z Khan,Royal Challengers Bangalore,"$450,000"
