Player,Team,Salary
DE Bollinger,Chennai Super Kings,"$700,000"
DJ Bravo,Chennai Super Kings,"$200,000"
JA Morkel,Chennai Super Kings,"$675,000"
MEK Hussey,Chennai Super Kings,"$425,000"
MS Dhoni,Chennai Super Kings,"$1,500,000"
R Ashwin,Chennai Super Kings,"$850,000"
RA Jadeja,Chennai Super Kings,"$2,000,000"
S Badrinath,Chennai Super Kings,"$800,000"
SK Raina,Chennai Super Kings,"$650,000"
WP Saha,Chennai Super Kings,"$100,000"
A Mishra,Deccan Chargers,"$300,000"
CL White,Deccan Chargers,"$1,100,000"
DJ Harris,Deccan Chargers,"$70,000"
DT Christian,Deccan Chargers,"$900,000"
DW Steyn,Deccan Chargers,"$1,200,000"
JP Duminy,Deccan Chargers,"$300,000"
KC Sangakkara,Deccan Chargers,"$700,000"
MS Gony,Deccan Chargers,"$290,000"
PA Patel,Deccan Chargers,"$650,000"
S Dhawan,Deccan Chargers,"$300,000"
AB Agarkar,Delhi Daredevils,"$210,000"
AD Russell,Delhi Daredevils,"$450,000"
AJ Finch,Delhi Daredevils,"$300,000"
DA Warner,Delhi Daredevils,"$750,000"
DAJ Bracewell,Delhi Daredevils,"$50,000"
DPMD Jayawardene,Delhi Daredevils,"$1,400,000"
IK Pathan,Delhi Daredevils,"$1,900,000"
KP Pietersen,Delhi Daredevils,"$1,550,000"
LRPL Taylor,Delhi Daredevils,"$1,000,000"
M Morkel,Delhi Daredevils,"$475,000"
NV Ojha,Delhi Daredevils,"$270,000"
RE van der Merwe,Delhi Daredevils,"$50,000"
Y Venugopal Rao,Delhi Daredevils,"$700,000"
AC Gilchrist,Kings XI Punjab,"$900,000"
AM Nayar,Kings XI Punjab,"$800,000"
Azhar Mahmood,Kings XI Punjab,"$200,000"
DJ Hussey,Kings XI Punjab,"$1,400,000"
JP Faulkner,Kings XI Punjab,"$190,000"
P Kumar,Kings XI Punjab,"$800,000"
PP Chawla,Kings XI Punjab,"$900,000"
RJ Harris,Kings XI Punjab,"$325,000"
RR Powar,Kings XI Punjab,"$180,000"
SE Marsh,Kings XI Punjab,"$400,000"
B Lee,Kolkata Knight Riders,"$400,000"
BB McCullum,Kolkata Knight Riders,"$900,000"
G Gambhir,Kolkata Knight Riders,"$2,400,000"
JH Kallis,Kolkata Knight Riders,"$1,100,000"
L Balaji,Kolkata Knight Riders,"$500,000"
MK Tiwary,Kolkata Knight Riders,"$475,000"
RN ten Doeschate,Kolkata Knight Riders,"$150,000"
Shakib Al Hasan,Kolkata Knight Riders,"$425,000"
SP Narine,Kolkata Knight Riders,"$700,000"
YK Pathan,Kolkata Knight Riders,"$2,100,000"
AC Blizzard,Mumbai Indians,"$20,000"
DJ Jacobs,Mumbai Indians,"$190,000"
DR Smith,Mumbai Indians,"$100,000"
Harbhajan Singh,Mumbai Indians,"$850,000"
HH Gibbs,Mumbai Indians,"$50,000"
JEC Franklin,Mumbai Indians,"$100,000"
KA Pollard,Mumbai Indians,"$750,000"
KD Karthik,Mumbai Indians,"$900,000"
MM Patel,Mumbai Indians,"$700,000"
NLTC Perera,Mumbai Indians,"$650,000"
RG Sharma,Mumbai Indians,"$2,000,000"
RJ Peterson,Mumbai Indians,"$100,000"
RP Singh,Mumbai Indians,"$600,000"
AB Dinda,Pune Warriors,"$375,000"
AC Thomas,Pune Warriors,"$100,000"
CJ Ferguson,Pune Warriors,"$300,000"
JD Ryder,Pune Warriors,"$150,000"
M Kartik,Pune Warriors,"$400,000"
RV Uthappa,Pune Warriors,"$2,100,000"
SC Ganguly,Pune Warriors,"$400,000"
WD Parnell,Pune Warriors,"$160,000"
BJ Hodge,Rajasthan Royals,"$475,000"
GB Hogg,Rajasthan Royals,"$180,000"
J Botha,Rajasthan Royals,"$950,000"
K Cooper,Rajasthan Royals,"$50,000"
OA Shah,Rajasthan Royals,"$200,000"
R Dravid,Rajasthan Royals,"$500,000"
SR Watson,Rajasthan Royals,"$125,000"
SW Tait,Rajasthan Royals,"$300,000"
A Mithun,Royal Challengers Bangalore,"$260,000"
AB de Villiers,Royal Challengers Bangalore,"$1,100,000"
AB McDonald,Royal Challengers Bangalore,"$80,000"
CA Pujara,Royal Challengers Bangalore,"$700,000"
CH Gayle,Royal Challengers Bangalore,"$650,000"
DL Vettori,Royal Challengers Bangalore,"$550,000"
M Kaif,Royal Challengers Bangalore,"$130,000"
M Muralitharan,Royal Challengers Bangalore,"$220,000"
R Vinay Kumar,Royal Challengers Bangalore,"$1,000,000"
SS Tiwary,Royal Challengers Bangalore,"$1,600,000"
TM Dilshan,Royal Challengers Bangalore,"$650,000"
Z Khan,Royal Challengers Bangalore,"$900,000"
