Player,Team,Salary
AT Rayudu,Chennai Super Kings,"$343,750"
CA Pujara,Chennai Super Kings,"$71,400"
DJ Bravo,Chennai Super Kings,"$1,000,000"
DL Chahar,Chennai Super Kings,"$125,000"
F du Plessis,Chennai Super Kings,"$250,000"
Imran Tahir,Chennai Super Kings,"$156,250"
JP Behrendorff,Chennai Super Kings,"$234,380"
JR Hazlewood,Chennai Super Kings,"$285,700"
K Gowtham,Chennai Super Kings,"$900,000"
KM Asif,Chennai Super Kings,"$62,500"
KV Sharma,Chennai Super Kings,"$478,000"
L Ngidi,Chennai Super Kings,"$78,130"
MJ Santner,Chennai Super Kings,"$78,130"
MM Ali,Chennai Super Kings,"$1,000,000"
MS Dhoni,Chennai Super Kings,"$2,343,750"
N Jagadeesan,Chennai Super Kings,"$31,250"
RA Jadeja,Chennai Super Kings,"$1,093,750"
RD Gaikwad,Chennai Super Kings,"$28,600"
RV Uthappa,Chennai Super Kings,"$428,600"
SK Raina,Chennai Super Kings,"$1,718,750"
SM Curran,Chennai Super Kings,"$785,700"
SN Thakur,Chennai Super Kings,"$406,250"
A Mishra,Delhi Capitals,"$625,000"
A Nortje,Delhi Capitals,"$28,600"
AM Rahane,Delhi Capitals,"$760,000"
AR Patel,Delhi Capitals,"$714,300"
Avesh Khan,Delhi Capitals,"$109,380"
CR Woakes,Delhi Capitals,"$214,300"
I Sharma,Delhi Capitals,"$157,100"
K Khejroliya,Delhi Capitals,"$15,000"
K Rabada,Delhi Capitals,"$656,250"
Lalit Yadav,Delhi Capitals,"$28,600"
MP Stoinis,Delhi Capitals,"$685,700"
P Dubey,Delhi Capitals,"$15,000"
PP Shaw,Delhi Capitals,"$187,500"
R Ashwin,Delhi Capitals,"$1,100,000"
RR Pant,Delhi Capitals,"$2,343,750"
RV Patel,Delhi Capitals,"$28,600"
S Dhawan,Delhi Capitals,"$812,500"
SO Hetmyer,Delhi Capitals,"$1,107,100"
SPD Smith,Delhi Capitals,"$314,300"
SS Iyer,Delhi Capitals,"$1,093,750"
SW Billings,Delhi Capitals,"$285,700"
TK Curran,Delhi Capitals,"$750,000"
UT Yadav,Delhi Capitals,"$142,900"
Vishnu Vinod,Delhi Capitals,"$28,600"
AD Russell,Kolkata Knight Riders,"$1,328,130"
BCJ Cutting,Kolkata Knight Riders,"$107,100"
CV Varun,Kolkata Knight Riders,"$1,200,000"
EJG Morgan,Kolkata Knight Riders,"$750,000"
Gurkeerat Singh,Kolkata Knight Riders,"$71,400"
Harbhajan Singh,Kolkata Knight Riders,"$285,700"
KD Karthik,Kolkata Knight Riders,"$1,156,250"
KK Nair,Kolkata Knight Riders,"$71,400"
KL Nagarkoti,Kolkata Knight Riders,"$500,000"
Kuldeep Yadav,Kolkata Knight Riders,"$28,600"
LH Ferguson,Kolkata Knight Riders,"$228,600"
M Prasidh Krishna,Kolkata Knight Riders,"$15,620"
N Rana,Kolkata Knight Riders,"$531,250"
P Negi,Kolkata Knight Riders,"$71,400"
PJ Cummins,Kolkata Knight Riders,"$2,214,300"
RA Tripathi,Kolkata Knight Riders,"$85,700"
RK Singh,Kolkata Knight Riders,"$125,000"
S Sandeep Warrier,Kolkata Knight Riders,"$16,000"
Shakib Al Hasan,Kolkata Knight Riders,"$457,100"
Shivam Mavi,Kolkata Knight Riders,"$468,750"
Shubman Gill,Kolkata Knight Riders,"$281,250"
SP Jackson,Kolkata Knight Riders,"$28,600"
SP Narine,Kolkata Knight Riders,"$1,953,130"
TG Southee,Kolkata Knight Riders,"$156,250"
Vaibhav Arora,Kolkata Knight Riders,"$28,600"
VR Iyer,Kolkata Knight Riders,"$28,600"
AF Milne,Mumbai Indians,"$457,100"
Anmolpreet Singh,Mumbai Indians,"$114,300"
AP Tare,Mumbai Indians,"$31,250"
Arjun Tendulkar,Mumbai Indians,"$28,600"
AS Roy,Mumbai Indians,"$31,250"
CA Lynn,Mumbai Indians,"$285,700"
DS Kulkarni,Mumbai Indians,"$110,000"
HH Pandya,Mumbai Indians,"$1,718,750"
Ishan Kishan,Mumbai Indians,"$968,750"
J Yadav,Mumbai Indians,"$78,130"
JDS Neesham,Mumbai Indians,"$71,400"
JJ Bumrah,Mumbai Indians,"$1,093,750"
KA Pollard,Mumbai Indians,"$843,750"
KH Pandya,Mumbai Indians,"$1,375,000"
M Jansen,Mumbai Indians,"$28,600"
Mohsin Khan,Mumbai Indians,"$28,600"
NM Coulter-Nile,Mumbai Indians,"$714,300"
PP Chawla,Mumbai Indians,"$342,900"
Q de Kock,Mumbai Indians,"$437,500"
RD Chahar,Mumbai Indians,"$296,880"
RG Sharma,Mumbai Indians,"$2,343,750"
SA Yadav,Mumbai Indians,"$500,000"
SS Tiwary,Mumbai Indians,"$71,400"
TA Boult,Mumbai Indians,"$460,000"
Arshdeep Singh,Punjab Kings,"$28,600"
CH Gayle,Punjab Kings,"$312,500"
CJ Jordan,Punjab Kings,"$428,600"
Darshan Nalkande,Punjab Kings,"$42,900"
DJ Hooda,Punjab Kings,"$71,400"
DJ Malan,Punjab Kings,"$214,300"
FA Allen,Punjab Kings,"$107,100"
Harpreet Brar,Punjab Kings,"$28,600"
JA Richardson,Punjab Kings,"$2,000,000"
Jalaj S Saxena,Punjab Kings,"$42,900"
KL Rahul,Punjab Kings,"$1,718,750"
M Ashwin,Punjab Kings,"$28,600"
M Shahrukh Khan,Punjab Kings,"$750,000"
MA Agarwal,Punjab Kings,"$156,250"
Mandeep Singh,Punjab Kings,"$218,750"
MC Henriques,Punjab Kings,"$600,000"
Mohammed Shami,Punjab Kings,"$685,700"
N Pooran,Punjab Kings,"$600,000"
Prabhsimran Singh,Punjab Kings,"$78,600"
Ravi Bishnoi,Punjab Kings,"$285,700"
RP Meredith,Punjab Kings,"$1,142,900"
Saurabh Kumar,Punjab Kings,"$28,600"
SN Khan,Punjab Kings,"$35,700"
Utkarsh Singh,Punjab Kings,"$28,600"
AJ Tye,Rajasthan Royals,"$142,900"
Akash Singh,Rajasthan Royals,"$28,600"
Anuj Rawat,Rajasthan Royals,"$114,300"
BA Stokes,Rajasthan Royals,"$1,953,130"
C Sakariya,Rajasthan Royals,"$171,400"
CH Morris,Rajasthan Royals,"$2,321,400"
DA Miller,Rajasthan Royals,"$107,100"
E Lewis,Rajasthan Royals,"$593,750"
JC Archer,Rajasthan Royals,"$1,125,000"
JC Buttler,Rajasthan Royals,"$687,500"
JD Unadkat,Rajasthan Royals,"$428,600"
Kartik Tyagi,Rajasthan Royals,"$185,700"
KC Cariappa,Rajasthan Royals,"$28,600"
LS Livingstone,Rajasthan Royals,"$107,100"
M Markande,Rajasthan Royals,"$290,000"
M Vohra,Rajasthan Royals,"$28,600"
MK Lomror,Rajasthan Royals,"$31,250"
Mustafizur Rahman,Rajasthan Royals,"$142,900"
O Thomas,Rajasthan Royals,"$71,400"
R Parag,Rajasthan Royals,"$28,600"
R Tewatia,Rajasthan Royals,"$430,000"
S Dube,Rajasthan Royals,"$628,600"
S Gopal,Rajasthan Royals,"$31,250"
SV Samson,Rajasthan Royals,"$1,250,000"
YBK Jaiswal,Rajasthan Royals,"$342,900"
A Zampa,Royal Challengers Bangalore,"$45,000"
AB de Villiers,Royal Challengers Bangalore,"$1,718,750"
D Padikkal,Royal Challengers Bangalore,"$28,600"
DT Christian,Royal Challengers Bangalore,"$234,380"
GJ Maxwell,Royal Challengers Bangalore,"$2,035,700"
HV Patel,Royal Challengers Bangalore,"$31,250"
KA Jamieson,Royal Challengers Bangalore,"$2,142,900"
KS Bharat,Royal Challengers Bangalore,"$16,667"
KW Richardson,Royal Challengers Bangalore,"$571,400"
Mohammed Siraj,Royal Challengers Bangalore,"$406,250"
NA Saini,Royal Challengers Bangalore,"$468,750"
PVD Chameera,Royal Challengers Bangalore,"$78,130"
RM Patidar,Royal Challengers Bangalore,"$28,600"
Sachin Baby,Royal Challengers Bangalore,"$28,600"
Shahbaz Ahmed,Royal Challengers Bangalore,"$28,600"
V Kohli,Royal Challengers Bangalore,"$2,656,250"
Washington Sundar,Royal Challengers Bangalore,"$500,000"
YS Chahal,Royal Challengers Bangalore,"$937,500"
Abdul Samad,Sunrisers Hyderabad,"$28,600"
Abhishek Sharma,Sunrisers Hyderabad,"$85,940"
B Kumar,Sunrisers Hyderabad,"$1,328,130"
Basil Thampi,Sunrisers Hyderabad,"$148,440"
DA Warner,Sunrisers Hyderabad,"$1,953,130"
J Suchith,Sunrisers Hyderabad,"$42,900"
JJ Roy,Sunrisers Hyderabad,"$214,300"
JM Bairstow,Sunrisers Hyderabad,"$314,300"
JO Holder,Sunrisers Hyderabad,"$105,000"
KK Ahmed,Sunrisers Hyderabad,"$468,750"
KM Jadhav,Sunrisers Hyderabad,"$285,700"
KS Williamson,Sunrisers Hyderabad,"$468,750"
MK Pandey,Sunrisers Hyderabad,"$1,718,750"
Mohammad Nabi,Sunrisers Hyderabad,"$156,250"
MR Marsh,Sunrisers Hyderabad,"$285,700"
Mujeeb Ur Rahman,Sunrisers Hyderabad,"$625,000"
PK Garg,Sunrisers Hyderabad,"$271,400"
Rashid Khan,Sunrisers Hyderabad,"$1,406,250"
S Kaul,Sunrisers Hyderabad,"$593,750"
S Nadeem,Sunrisers Hyderabad,"$500,000"
Sandeep Sharma,Sunrisers Hyderabad,"$468,750"
SE Rutherford,Sunrisers Hyderabad,"$290,000"
SP Goswami,Sunrisers Hyderabad,"$156,250"
T Natarajan,Sunrisers Hyderabad,"$62,500"
V Shankar,Sunrisers Hyderabad,"$500,000"
Virat Singh,Sunrisers Hyderabad,"$271,400"
WP Saha,Sunrisers Hyderabad,"$171,400"
