player_name,team,year,matches_played,innings_bowled,overs_bowled,maidens_earned,runs_conceded,wickets_taken,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wickets,five_wickets,innings_batted,not_outs,runs_scored,highest_score,batting_average,balls_faced,batting_strike_rate,hundreds_scored,fifties_scored,ducks_scored,fours_scored,sixes_scored,TARGET(position)
Z Khan,Royal Challengers Bangalore,2008,11,11,42.0,0,357,13,3/38,27.46,8.50,19.3,0,0,8,4,34,17*,8.50,43,79.06,0,0,1,4,0,7th
P Kumar,Royal Challengers Bangalore,2008,13,13,44.4,1,366,11,3/23,33.27,8.19,24.3,0,0,12,2,112,34,11.20,98,114.28,0,0,2,10,6,7th
DW Steyn,Royal Challengers Bangalore,2008,10,10,38.0,0,252,10,3/27,25.20,6.63,22.8,0,0,2,1,2,1*,2.00,5,40.00,0,0,0,0,0,7th
A Kumble,Royal Challengers Bangalore,2008,10,10,38.2,0,304,7,3/14,43.42,7.93,32.8,0,0,5,3,13,8,6.50,17,76.47,0,0,0,1,0,7th
R Vinay Kumar,Royal Challengers Bangalore,2008,8,8,23.0,0,182,5,3/27,36.40,7.91,27.6,0,0,4,1,25,23,8.33,22,113.63,0,0,1,2,1,7th
JH Kallis,Royal Challengers Bangalore,2008,11,11,34.2,0,311,4,2/39,77.75,9.05,51.5,0,0,11,0,199,54,18.09,183,108.74,0,1,1,23,4,7th
V Kohli,Royal Challengers Bangalore,2008,13,4,7.4,0,61,2,2/25,30.50,7.95,23.0,0,0,12,1,165,38,15.00,157,105.09,0,0,1,18,4,7th
B Akhil,Royal Challengers Bangalore,2008,7,6,17.2,0,134,2,2/17,67.00,7.73,52.0,0,0,7,4,46,27*,15.33,31,148.38,0,0,1,4,3,7th
AA Noffke,Royal Challengers Bangalore,2008,1,1,4.0,0,40,1,1/40,40.00,10.00,24.0,0,0,1,0,9,9,9.00,10,90.00,0,0,0,1,0,7th
SB Joshi,Royal Challengers Bangalore,2008,4,4,9.1,0,82,1,1/27,82.00,8.94,55.0,0,0,2,0,6,3,3.00,14,42.85,0,0,0,0,0,7th
CL White,Royal Challengers Bangalore,2008,8,1,1.0,0,24,0,-,-,24.00,-,0,0,8,1,114,31*,16.28,102,111.76,0,0,1,8,4,7th
Abdur Razzak,Royal Challengers Bangalore,2008,1,1,2.0,0,29,0,-,-,14.50,-,0,0,1,1,0,0*,-,2,0.00,0,0,0,0,0,7th
A Kumble,Royal Challengers Bangalore,2009,16,16,59.1,1,347,21,5/5,16.52,5.86,16.9,1,1,7,6,16,7*,16.00,19,84.21,0,0,0,2,0,2nd
P Kumar,Royal Challengers Bangalore,2009,13,13,49.4,1,394,13,3/30,30.30,7.93,22.9,0,0,8,3,65,14*,13.00,46,141.30,0,0,1,1,6,2nd
RE van der Merwe,Royal Challengers Bangalore,2009,10,10,34.0,0,248,9,2/22,27.55,7.29,22.6,0,0,8,0,122,35,15.25,98,124.48,0,0,0,8,8,2nd
R Vinay Kumar,Royal Challengers Bangalore,2009,11,11,32.2,0,271,9,2/30,30.11,8.38,21.5,0,0,8,3,47,12,9.40,44,106.81,0,0,1,4,1,2nd
JH Kallis,Royal Challengers Bangalore,2009,15,14,46.0,1,353,6,2/18,58.83,7.67,46.0,0,0,15,2,361,69*,27.76,332,108.73,0,3,2,37,8,2nd
D du Preez,Royal Challengers Bangalore,2009,2,2,7.0,1,56,4,3/32,14.00,8.00,10.5,0,0,1,0,10,10,10.00,13,76.92,0,0,0,0,0,2nd
B Akhil,Royal Challengers Bangalore,2009,6,5,11.0,0,80,4,2/18,20.00,7.27,16.5,0,0,3,1,17,9,8.50,15,113.33,0,0,1,1,1,2nd
KP Pietersen,Royal Challengers Bangalore,2009,6,4,13.0,0,85,4,2/31,21.25,6.53,19.5,0,0,6,0,93,37,15.50,85,109.41,0,0,2,8,2,2nd
JD Ryder,Royal Challengers Bangalore,2009,5,5,17.0,0,115,3,2/14,38.33,6.76,34.0,0,0,5,0,56,32,11.20,49,114.28,0,0,2,9,0,2nd
DW Steyn,Royal Challengers Bangalore,2009,3,3,9.0,0,62,2,1/21,31.00,6.88,27.0,0,0,2,1,0,0*,0.00,3,0.00,0,0,1,0,0,2nd
Pankaj Singh,Royal Challengers Bangalore,2009,3,3,7.0,0,65,2,2/31,32.50,9.28,21.0,0,0,2,1,1,1*,1.00,2,50.00,0,0,1,0,0,2nd
KP Appanna,Royal Challengers Bangalore,2009,5,5,12.0,0,87,2,1/24,43.50,7.25,36.0,0,0,1,1,0,0*,-,1,0.00,0,0,0,0,0,2nd
LRPL Taylor,Royal Challengers Bangalore,2009,11,1,1.0,0,13,0,-,-,13.00,-,0,0,11,2,280,81*,31.11,208,134.61,0,1,1,20,15,2nd
